[05/06/2021 22:03] | Error updated: E-mail inválido, verifique e tente novamente.
[07/06/2021 09:15] | Error updated: E-mail inválido, verifique e tente novamente.
[07/06/2021 09:19] | Error get_logs: Houve um erro ao recuperar os logs do arquivo: success.log
[07/06/2021 09:19] | Error get_logs: Houve um erro ao recuperar os logs do arquivo: success.log
[07/06/2021 09:20] | Error get_logs: Houve um erro ao recuperar os logs do arquivo: success.log
[07/06/2021 09:21] | Error get_logs: Houve um erro ao recuperar os logs do arquivo: success.log
[07/06/2021 09:21] | Error get_logs: Houve um erro ao recuperar os logs do arquivo: success.log
[07/06/2021 09:21] | Error get_logs: Houve um erro ao recuperar os logs do arquivo: success.log
[07/06/2021 09:21] | Error get_logs: Houve um erro ao recuperar os logs do arquivo: success.log
[07/06/2021 09:23] | Error get_logs: Houve um erro ao recuperar os logs do arquivo: success.log
[07/06/2021 12:27] | Error updated: E-mail inválido, verifique e tente novamente.
[10/06/2021 00:15] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:15] | Error exception get_ip: 'error'
[10/06/2021 00:16] | Error exception get_ip: 'error'
[10/06/2021 00:18] | Error exception get_ip: 'error'
[10/06/2021 00:20] | Error exception get_ip: 'error'
[10/06/2021 00:22] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:22] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:24] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:24] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:25] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:29] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:35] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:36] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 00:38] | Error exception get_ip: Expecting value: line 1 column 1 (char 0)
[10/06/2021 00:38] | Error exception get_ip: Expecting value: line 1 column 1 (char 0)
[10/06/2021 00:38] | Search error sintax one: Houve um erro na sintax do arqumento para pesquisa, por favor, verifiquei o texto e tente novamente.
[10/06/2021 10:11] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 10:11] | Search get ip error: O campo de pesquisa está vazio, por favor, insira um parâmetro para pesquisa e tente novamente.
[10/06/2021 10:11] | Search error empty: Não foi localizado nenhum resultado com o parâmetro da sua pesquisa.
[10/06/2021 10:11] | Search error empty: Não foi localizado nenhum resultado com o parâmetro da sua pesquisa.
